id,subject,question,similar_question,similarity_score,approach_summary,conceptual,structural,difficulty,transferability,overall,rationale,provider_used,model_used
006d7,Mathematics,"माना A = $\begin{pmatrix} 1+i & 1 \ -i & 0 \end{pmatrix}$, जहाँ i = √-1 है। तो समुच्चय { n ∈ {1,2,......,100} : $A^n$ = A} में अवयवों की संख्या है _______

The image shows a mathematical expression defining a matrix A and a set condition. The matrix A is a 2x2 matrix with elements 1+i, 1, -i, and 0, where i is defined as the square root of -1. The problem asks to find the number of elements in the set of n belonging to {1, 2, ..., 100} such that A to the power of n equals A.","Let A = $\begin{pmatrix} 1+i & 1 \ -i & 0 \end{pmatrix}$ where I = $\sqrt{-1}$. Then, the number of elements in the set {n$\in$ {1,2, ....., 100} : $A^n$ = A} is",0.981,"The solution calculates $A^2$ and $A^4$. It finds that $A^4 = I$ (identity matrix). Consequently, $A^5 = A, A^9 = A$, and so on. The values of n for which $A^n = A$ form an arithmetic progression: n = 1, 5, 9, ..., 97. The number of terms in this sequence is then calculated, which gives the number of elements in the set.",4,4,4,4,4.0,"The questions are identical in concept, structure, and required solution steps. The only difference is the language of the 'question' field, with a description of the math expression in English for the original.",google,gemini-2.5-flash
006d7,Mathematics,"माना A = $\begin{pmatrix} 1+i & 1 \ -i & 0 \end{pmatrix}$, जहाँ i = √-1 है। तो समुच्चय { n ∈ {1,2,......,100} : $A^n$ = A} में अवयवों की संख्या है _______

The image shows a mathematical expression defining a matrix A and a set condition. The matrix A is a 2x2 matrix with elements 1+i, 1, -i, and 0, where i is defined as the square root of -1. The problem asks to find the number of elements in the set of n belonging to {1, 2, ..., 100} such that A to the power of n equals A.","Let $$A = \left( {\matrix{
   {1 + i} & 1  \cr 
   { - i} & 0  \cr 

 } } \right)$$ where $$i = \sqrt { - 1} $$. Then, the number of elements in the set { n $$\in$$ {1, 2, ......, 100} : A n = A } is ____________.",0.98,"First, the solution calculates A^2 and A^4. It finds that A^4 equals the identity matrix I. Consequently, A^5 = A, A^9 = A, and so on. The values of n for which A^n = A are 1, 5, 9, ..., 97. The number of such values of n is 25.",4,4,4,4,4.0,"The questions are identical in concept and content. The only structural difference is the formatting/rendering of the matrix and the set notation, but the mathematical problem is precisely the same.",google,gemini-2.5-flash
00b31,Mathematics,अवकल सभीकरण $(x\sqrt{1+y^2}) dx + (y\sqrt{1+x^2})dy=0$ का हल है :,"Question Text::
            x (y2 + 1) dx + y (x² + 1) dy = 0

            
            {""goemetric_relationships"":[],""labels_and_symbols"":[],""spatial_arrangements"":[]}",0.9876,"The solution uses the variable separable method to solve the differential equation. First, the variables are separated to have x terms on one side and y terms on the other. Then, both sides are integrated, using substitution to solve the integrals. The logarithmic terms are simplified and combined using logarithm properties. Finally, the equation is converted from logarithmic to algebraic form by exponentiating both sides, resulting in the general solution.",4,3,3,4,3.5,"Both are first-order separable differential equations. The core concept of separation of variables is identical. However, the specific functions to be integrated differ, with the original having square roots, which can sometimes lead to slightly different integration techniques and difficulty, but the overall method is the same.",google,gemini-2.5-flash
00b31,Mathematics,अवकल सभीकरण $(x\sqrt{1+y^2}) dx + (y\sqrt{1+x^2})dy=0$ का हल है :,"The solution of the differential equation
 x dy + y dx - \sqrt{1-x^{2}y^{2}}dx = 0 is",0.9886,"The given differential equation is solved by rearranging the terms and integrating. First, the equation is rewritten as \( \frac{xdy+ydx}{\sqrt{1-x^{2}y^{2}}} = dx \). Noticing that \( xdy + ydx = d(xy) \), the equation becomes \( \frac{d(xy)}{\sqrt{1-(xy)^{2}}} = dx \). Both sides are then integrated, yielding \( sin^{-1}(xy) = x + c \). Finally, solving for \( xy \), we get the solution \( xy = sin(x + c) \).",2,1,2,1,1.5,"Both are differential equations, but the types are fundamentally different. The original is a separable DE, while the similar question requires recognizing an exact differential or a substitution like z=xy, leading to very different solution methods.",google,gemini-2.5-flash
0159a,Mathematics,"If \(y = 1 + \frac{x_1}{x - x_1} + \frac{x_2 \cdot x}{(x - x_1)(x - x_2)} + \frac{x_3 \cdot x^2}{(x - x_1)(x - x_2)(x - x_3)} + \dots \) upto \((n + 1)\) terms then prove that \(\frac{dy}{dx} = \frac{y}{x} \left[ \frac{x_1}{x_1 - x} + \frac{x_2}{x_2 - x} + \frac{x_3}{x_3 - x} + \dots + \frac{x_n}{x_n - x} \right]\)

The image shows a mathematical expression involving a series. The expression starts with 'If y = 1 +', followed by a series of terms. The general form of each term in the series is a fraction where the numerator involves a product of 'x' terms with subscripts (e.g., x1, x2, x3) and powers of 'x', and the denominator involves a product of differences of the form '(x - xi)', where 'i' is an index. The series continues up to (n+1) terms. Following this series, there is an expression to prove, which involves the derivative of 'y' with respect to 'x' (dy/dx). This expression equates dy/dx to a product of 'y/x' and a sum of fractions. Each fraction in the sum has a numerator of the form 'xi' and a denominator of the form 'xi - x', where 'i' ranges from 1 to n.","If f (x) = x^{n}, then the value of
f(1) + \frac{f^{1}(1)}{1} + \frac{f^{2}(1)}{2!} + \dots + \frac{f^{n}(1)}{n!}, where f^{r}(x) denotes the r^{th}
order derivative of f(x) with respect to x, is",0.9678,"The approach involves finding the derivatives of f(x) = xⁿ, then evaluating these derivatives at x=1. After this, substitute these values into the given expression. Recognize that the resulting expression is the binomial expansion of (1+1)ⁿ, which simplifies to 2ⁿ.",1,1,1,1,1.0,"Both involve series and derivatives, but the specific problems are entirely different. The original asks to prove a derivative identity for a complex rational series, while the similar question asks to evaluate a specific sum of derivatives for a simple polynomial function at a point (Taylor series related).",google,gemini-2.5-flash
0159a,Mathematics,"If \(y = 1 + \frac{x_1}{x - x_1} + \frac{x_2 \cdot x}{(x - x_1)(x - x_2)} + \frac{x_3 \cdot x^2}{(x - x_1)(x - x_2)(x - x_3)} + \dots \) upto \((n + 1)\) terms then prove that \(\frac{dy}{dx} = \frac{y}{x} \left[ \frac{x_1}{x_1 - x} + \frac{x_2}{x_2 - x} + \frac{x_3}{x_3 - x} + \dots + \frac{x_n}{x_n - x} \right]\)

The image shows a mathematical expression involving a series. The expression starts with 'If y = 1 +', followed by a series of terms. The general form of each term in the series is a fraction where the numerator involves a product of 'x' terms with subscripts (e.g., x1, x2, x3) and powers of 'x', and the denominator involves a product of differences of the form '(x - xi)', where 'i' is an index. The series continues up to (n+1) terms. Following this series, there is an expression to prove, which involves the derivative of 'y' with respect to 'x' (dy/dx). This expression equates dy/dx to a product of 'y/x' and a sum of fractions. Each fraction in the sum has a numerator of the form 'xi' and a denominator of the form 'xi - x', where 'i' ranges from 1 to n.","Let $f_1(x) = e^x$ and $f_{n+1}(x) = e^{f_n(x)}$ for any $n \ge 1, n \in N$. Then for any fixed n, the value of $\frac{d}{dx}f_n(x)$ equals:",0.9632,"The approach involves recognizing a recursively defined function $f_n(x)$ where $f_1(x) = e^x$ and $f_{n+1}(x) = e^{f_n(x)}$. We find the derivative of $f_n(x)$ with respect to $x$ for $n = 1, 2, 3$ to identify a pattern. For $n=1$, the derivative is simply $e^x = f_1(x)$. For $n=2$ and $n=3$, we apply the chain rule and express the derivatives in terms of the function itself. Based on the pattern observed for $n=1, 2, 3$, we generalize the formula for the derivative of $f_n(x)$ as the product of $f_n(x), f_{n-1}(x), \dots, f_1(x)$.",1,1,1,1,1.0,"Both involve differentiation of functions, but the nature of the functions and the required techniques are vastly different. The original deals with a sum of rational terms, while the similar question deals with a recursively defined nested exponential function.",google,gemini-2.5-flash
015c4,Physics,"A river has width 0.5 km and flows from West to East with a speed 30 km/hr. If a boatman starts sailing boat at a speed 40 km/hr normal to bank, the boat shall cross the river in time -

The problem describes a river with a width of 0.5 km flowing from West to East at a speed of 30 km/hr. A boatman starts sailing a boat at a speed of 40 km/hr normal to the bank.","A boat crosses a river from port A to port B, which are just on the opposite side. The speed of the water is $V_W$ and that of boat is $V_B$ relative to still water. Assume $V_B = 2V_W$. What is the time taken by the boat, if it has to cross the river directly on the AB line ?",0.9747,"The boat needs to travel from point A to point B directly across the river. The speed of the boat is \(V_B\), and the speed of the water is \(V_W\). Given that \(V_B = 2V_W\), the boat must travel at an angle \(\theta\) such that \(V_B \sin(\theta) = V_W\). From this relationship, we find \(\theta = 30^\circ\). The time \(t\) taken to cross the river is the distance \(D\) divided by the component of the boat's velocity in the direction from A to B, which is \(V_B \cos(\theta)\). Substituting \(\theta = 30^\circ\), we get \(t = \frac{D}{V_B \cos(30^\circ)} = \frac{2D}{V_B \sqrt{3}}\) ",3,2,2,2,2.5,"Both are river-boat problems, but they describe different scenarios. The original implies the 'shortest time' path (boat aims perpendicular to current), while the similar describes the 'shortest distance' path (resultant velocity perpendicular to current). The underlying physics concepts are shared, but the specific calculations differ.",google,gemini-2.5-flash
015c4,Physics,"A river has width 0.5 km and flows from West to East with a speed 30 km/hr. If a boatman starts sailing boat at a speed 40 km/hr normal to bank, the boat shall cross the river in time -

The problem describes a river with a width of 0.5 km flowing from West to East at a speed of 30 km/hr. A boatman starts sailing a boat at a speed of 40 km/hr normal to the bank.",A boat which has a speed of 5 km/h in still water crosses a river of width 1 km along the shortest possible path in 15 min. The speed of the river water in km/h is:,0.9748,"The problem is solved using the concept of relative velocity. First, the velocity of boat is calculated using the formula \( V_b = \frac{y}{t} \), where y is the width of the river and t is the time taken to cross the river. Then river velocity \( V_r \) is calculated using \( V_r = \sqrt{(V_{br})^2 - (V_b)^2} \), where \( V_{br} \) is the velocity of the boat with respect to the river.",3,2,2,2,2.5,Both are river-boat problems. The original asks for time for a boat aiming normal to the bank (shortest time). The similar asks for river speed for a boat taking the 'shortest possible path' (shortest distance). These are distinct scenarios with different calculation details involving vector components and Pythagoras.,google,gemini-2.5-flash
01a13,Chemistry,1.0 mol of Fe reacts completely with 0.65 mol of O₂ to give a mixture of only FeO and Fe₂O₃. The mole ratio of ferrous oxide to ferric oxide is,The compound formed when 1.95 moles of oxygen combine with 1.46 moles of iron is :,0.9598,"To determine the compound formed by the combination of iron and oxygen, the mole ratio between iron and oxygen is analyzed. Given 1.46 moles of iron and 1.95 moles of oxygen, the ratio is examined to find a simple whole number ratio. By scaling the given ratio, it is found that 3 moles of iron combine with approximately 4 moles of oxygen. Therefore, the formula of the iron oxide compound is determined to be $Fe_3O_4$.",2,1,1,1,1.5,"Both are stoichiometry problems involving iron and oxygen. However, the original is a more complex problem involving a mixture of two products, requiring a system of equations. The similar question is a simpler problem to determine the empirical formula of a single compound formed from given reactant moles.",google,gemini-2.5-flash
01a13,Chemistry,1.0 mol of Fe reacts completely with 0.65 mol of O₂ to give a mixture of only FeO and Fe₂O₃. The mole ratio of ferrous oxide to ferric oxide is,The number of moles of $F{e_2}{O_3}$ formed when 0.5 moles of O${_2}$ and 0.5 moles of Fe are allowed to react are,0.9548,"The problem is based on the concept of limiting reagent. First, the balanced chemical equation is written. Then, by using the given number of moles of reactants, the limiting reagent is identified. Here, $Fe$ is the limiting reagent. Finally, the amount of $F{e_2}{O_3}$ formed from the given amount of limiting reagent is calculated using stoichiometry.",3,2,2,2,2.5,"Both are stoichiometry problems involving iron and oxygen. The original involves finding the ratio of products in a mixture (more complex). The similar question is a standard limiting reactant problem for a single product, which is a different, generally simpler, problem type.",google,gemini-2.5-flash
01fb7,Mathematics,"If $sin^{-1}\frac{1}{3} + sin^{-1}\frac{2}{3} = sin^{-1}x$, then x is equal to :","If $\sin^{-1} x + \sin^{-1} 2x = \frac{\pi}{3}$, then the value of x",0.9841,"The solution uses the identity $\sin^{-1}A - \sin^{-1}B = \sin^{-1}(A\sqrt{1-B^2} - B\sqrt{1-A^2})$ to simplify the given equation $\sin^{-1} x + \sin^{-1} 2x = \frac{\pi}{3}$. By isolating $\sin^{-1} 2x$ and applying the identity, the equation is transformed into an algebraic equation in terms of $x$. Solving this algebraic equation leads to the final answer.",4,4,4,4,4.0,"Both questions test the same trigonometric identity for the sum of inverse sines, with a highly similar equation structure and comparable algebraic complexity.",google,gemini-2.5-flash
01fb7,Mathematics,"If $sin^{-1}\frac{1}{3} + sin^{-1}\frac{2}{3} = sin^{-1}x$, then x is equal to :","If sin (sin^{-1} \frac{1}{5} + cos^{-1} x) = 1, then x is equal to",0.9833,"Given the equation sin(sin^{-1}(1/5) + cos^{-1}(x)) = 1, we can deduce that sin^{-1}(1/5) + cos^{-1}(x) must equal π/2 because sin(π/2) = 1. Using the identity sin^{-1}(x) + cos^{-1}(x) = π/2, we can rewrite the equation as sin^{-1}(1/5) = π/2 - cos^{-1}(x) = sin^{-1}(x). Therefore, x = 1/5.",2,1,2,2,1.7,"Both involve inverse trigonometric functions but test different identities and have distinct structural forms, requiring different solution approaches.",google,gemini-2.5-flash
027c1,Physics,"The angle between vector (A) and (A-B) is:

The diagram shows a vector addition problem. Vector A and Vector B are shown, with an angle of 120 degrees between them. Vector -B is also shown.","The angle between vector ($\bar{A}$)and ($\bar{A}$-$\bar{B}$)is:

The diagram shows two vectors, A and B, with an angle of 120 degrees between them. A dashed vector labeled '-B' is also shown. The angle between vector A and the resultant vector (A-B) is labeled as beta.",0.9818,"The solution calculates the angle between vector A and (A-B). It uses the formula tan α = (B sin θ) / (A - B cos θ), where θ is the angle between vectors A and B. Given that the angle between A and B is 60 degrees, sin 60 = √3/2 and cos 60 = 1/2 are substituted into the formula. This simplifies to tan α = (B * √3/2) / (A - B * 1/2), which further simplifies to the final answer.",4,4,4,4,4.0,"These are virtually identical questions, asking for the same angle in the same vector configuration with the same initial information.",google,gemini-2.5-flash
027c1,Physics,"The angle between vector (A) and (A-B) is:

The diagram shows a vector addition problem. Vector A and Vector B are shown, with an angle of 120 degrees between them. Vector -B is also shown.","The angle between vector $$\left( {\overrightarrow A } \right)$$ and $$\left( {\overrightarrow A  - \overrightarrow B } \right)$$ is :

The diagram shows a vector addition/subtraction problem. Vector A is drawn horizontally. Vector B is drawn such that the angle between vector A and vector B is 120 degrees. A dashed line represents -B. The resultant vector (A - B) is drawn from the tail of A to the head of -B, forming a triangle. The angle between vector A and the resultant vector (A - B) is labeled as beta.",0.9779,"The angle between vector A and vector B is 60 degrees, so the angle between vector A and -B is 120 degrees. The tangent of the angle α between A and (A-B) is given by the formula tan α = |(-B)|sinθ / (A + |(-B)|cosθ). Substituting θ = 120 degrees, we get tan α = (B sin 120°) / (A + B cos 120°) = (B√(3)/2) / (A - B/2), which simplifies to tan α = (√(3)B) / (2A - B).",4,4,4,4,4.0,"These are practically identical questions, only differing in minor notational variations and slightly more descriptive diagram text in the second question.",google,gemini-2.5-flash
02b82,Physics,A rod of length L has a total charge Q distributed uniformly along its length. It is bent in the shape of a semicircle. Find the magnitude of the electric field at the centre of curvature of the semicircle.,"A thin glass rod is bent into a semicircle of radius r. A charge+ Q is uniformly distributed along the upper half and a charge – Q is uniformly distributed along the lower half, as shown in (figure). The electric field E at P, the centre of the semicircle, is:

A thin glass rod is bent into a semicircle of radius r. A charge +Q is uniformly distributed along the upper half (marked as A) and a charge -Q is uniformly distributed along the lower half (marked as B). O is the center of the semicircle. P is a point at the center of the semicircle.",0.9801,The electric field E at point P is calculated by considering the contributions from both the upper (positive charge) and lower (negative charge) halves of the semicircle. The electric field is the square root of the sum of squares of E1 and E2. E1 and E2 are equal and calculated using the formula 2k*lambda/r * sin(90/2). The value of E_net is then found by substituting values.,3,3,2,2,2.5,"Both calculate electric field at the center of a charged semicircle, but the charge distribution (uniform on full arc vs. positive/negative on halves) drastically changes the integral setup and symmetry considerations.",google,gemini-2.5-flash
02b82,Physics,A rod of length L has a total charge Q distributed uniformly along its length. It is bent in the shape of a semicircle. Find the magnitude of the electric field at the centre of curvature of the semicircle.,"Figure shows a rod AB, which is bent in a 120$$^\circ$$ circular arc of radius R. A charge ($$-$$Q) is uniformly distributed over rod AB. What is the electric field $$\overrightarrow E $$ at the centre of curvature O ?

The image shows a rod AB, which is bent in a 120$$^\circ$$ circular arc of radius R. A charge ($$-$$Q) is uniformly distributed over rod AB. The center of curvature is labeled as O. The coordinate axes X and Y are shown with O as the origin. The angle between the X-axis and line OA is 60$$^\circ$$. Similarly, the angle between the X-axis and line OB is 60$$^\circ$$.",0.9796,"The electric field at the center of curvature O is calculated using the formula for the electric field due to a charged arc. The linear charge density λ is found by dividing the total charge -Q by the arc length. Then, λ is substituted into the electric field formula, along with the angle θ/2 (which is 60 degrees), to find the electric field E. Finally, the expression is simplified to obtain the final answer.",4,4,4,4,4.0,"Both questions require calculating the electric field at the center of a uniformly charged circular arc using integration, with the main difference being the arc angle (semicircle vs. 120 degrees), which is a minor variation.",google,gemini-2.5-flash
031a8,Physics,"एक समान आवेशित समाक्षीय वलयो के लिए दोनों वलय के केन्द्र के मध्य विभावन्तर ज्ञात कीजिए

The diagram shows two coaxial rings. The ring on the left has a radius R and a charge Q, centered at point A. The ring on the right has a radius 2R and a charge 2Q, centered at point B. The distance between the centers A and B of the two rings is 2R, as indicated by a line segment labeled '2R'. A dashed line connects the centers A and B of the two rings.","The two thin coaxial rings, each of radius 'a' and having charges +Q and $$-$$Q respectively are separated by a distance of 's'. The potential difference between the centres of the two rings is :",0.981,"The potential at point A (\(V_A\)) is calculated by summing the potential due to the positive charge on ring A and the negative charge on ring B. Similarly, the potential at point B (\(V_B\)) is calculated by summing the potential due to the negative charge on ring B and the positive charge on ring A. The potential difference between points A and B (\(V_A - V_B\)) is then found by subtracting \(V_B\) from \(V_A\), simplifying the expression to obtain the final result.",3,2,3,3,2.8,"Both ask for potential difference between centers of coaxial rings, but the specific parameters (radii, charges, separation) are significantly different, requiring distinct algebraic setups and calculations.",google,gemini-2.5-flash
